Sample,Batch,Group,Time,Order
hilic-01,,vehicle,0,
hilic-02,,vehicle,0,
hilic-03,,vehicle,0,
hilic-04,,vehicle,10,
hilic-05,,vehicle,10,
hilic-06,,vehicle,10,
hilic-07,,vehicle,20,
hilic-08,,vehicle,20,
hilic-09,,vehicle,20,
hilic-10,,vehicle,40,
hilic-11,,vehicle,40,
hilic-12,,vehicle,40,
hilic-13,,vehicle,80,
hilic-14,,vehicle,80,
hilic-15,,vehicle,80,
hilic-16,,vehicle,160,
hilic-17,,vehicle,160,
hilic-18,,vehicle,160,
RPneg-01,,vehicle,0,
RPneg-02,,vehicle,0,
RPneg-03,,vehicle,0,
RPneg-04,,vehicle,10,
RPneg-05,,vehicle,10,
RPneg-06,,vehicle,10,
RPneg-07,,vehicle,20,
RPneg-08,,vehicle,20,
RPneg-09,,vehicle,20,
RPneg-10,,vehicle,40,
RPneg-11,,vehicle,40,
RPneg-12,,vehicle,40,
RPneg-13,,vehicle,80,
RPneg-14,,vehicle,80,
RPneg-15,,vehicle,80,
RPneg-16,,vehicle,160,
RPneg-17,,vehicle,160,
RPneg-18,,vehicle,160,
hilic-19,,inhibitor,0,
hilic-20,,inhibitor,0,
hilic-21,,inhibitor,0,
hilic-22,,inhibitor,10,
hilic-23,,inhibitor,10,
hilic-24,,inhibitor,10,
hilic-25,,inhibitor,20,
hilic-26,,inhibitor,20,
hilic-27,,inhibitor,20,
hilic-28,,inhibitor,40,
hilic-29,,inhibitor,40,
hilic-30,,inhibitor,40,
hilic-31,,inhibitor,80,
hilic-32,,inhibitor,80,
hilic-33,,inhibitor,80,
hilic-34,,inhibitor,160,
hilic-35,,inhibitor,160,
hilic-36,,inhibitor,160,
RPneg-19,,inhibitor,0,
RPneg-20,,inhibitor,0,
RPneg-21,,inhibitor,0,
RPneg-22,,inhibitor,10,
RPneg-23,,inhibitor,10,
RPneg-24,,inhibitor,10,
RPneg-25,,inhibitor,20,
RPneg-26,,inhibitor,20,
RPneg-27,,inhibitor,20,
RPneg-28,,inhibitor,40,
RPneg-29,,inhibitor,40,
RPneg-30,,inhibitor,40,
RPneg-31,,inhibitor,80,
RPneg-32,,inhibitor,80,
RPneg-33,,inhibitor,80,
RPneg-34,,inhibitor,160,
RPneg-35,,inhibitor,160,
RPneg-36,,inhibitor,160,
hilic-Blank01,,Blank,,
hilic-Blank02,,Blank,,
hilic-Blank03,,Blank,,
RPneg-Blank01,,Blank,,
RPneg-Blank02,,Blank,,
RPneg-Blank03,,Blank,,
hilic-QC01,,QC,,
hilic-QC02,,QC,,
hilic-QC03,,QC,,
hilic-QC04,,QC,,
hilic-QC05,,QC,,
hilic-QC06,,QC,,
hilic-QC07,,QC,,
hilic-QC08,,QC,,
hilic-QC09,,QC,,
hilic-QC10,,QC,,
RPneg-QC01,,QC,,
RPneg-QC02,,QC,,
RPneg-QC03,,QC,,
RPneg-QC04,,QC,,
RPneg-QC05,,QC,,
RPneg-QC06,,QC,,
RPneg-QC07,,QC,,
RPneg-QC08,,QC,,
RPneg-QC09,,QC,,
RPneg-QC10,,QC,,
