Analyte,Formula,Analysis,FC,A+0,A+1,A+2,A+3,A+4,A+5,A+6
L-Glutamic acid,C5H9NO4,media-hilic-18,0.726084848,2121963.081,0,25674.36505,0,0,5655390.907,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-31,0.994407329,2293.894406,4266.352083,0,912165.2241,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-Blank01,0,0,0,0,0,0,0,
Alanine,C3H7NO2,media-hilic-06,0.016356864,424757.8687,0,39.7071584,7036.98772,,,
Lactic acid,C3H6O3,media-hilic-06,0.022853743,1.46E+07,57529.91501,0,323636.2653,,,
L-Glutamine,C5H10N2O3,media-hilic-07,0.018651163,1.99E+07,1722424.741,149989.4992,1747.614147,159.6365462,174.7183403,
L-Glutamic acid,C5H9NO4,media-hilic-08,0.739814219,2656620.602,0,8994.040277,0,0,7565601.759,
Lactic acid C3,^13C3H6O3,media-hilic-24,0.021669957,1.38E+07,10488.62539,0,303429.8169,,,
Alanine 15N,C3H7^15NO2,media-hilic-12,0,0,0,0,0,,,
Lactic acid,C3H6O3,media-hilic-14,0.103363647,1.55E+07,54858.02505,37305.02524,1744218.443,,,
Alanine 15N,C3H7^15NO2,media-hilic-19,0,0,0,0,0,,,
L-Glutamic acid,C5H9NO4,media-hilic-10,0.731431427,3955722.256,0,12742.48928,0,0,1.08E+07,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-02,0.872406383,866.8400531,0,0,1968.694261,26214.61525,25006.16579,
Alanine,C3H7NO2,media-hilic-23,0.015264434,445694.3929,0,0,6908.730429,,,
L-Glutamic acid,C5H9NO4,media-hilic-11,0.732459347,3503492.13,0,11854.01931,0,0,9606414.971,
Lactic acid C3,^13C3H6O3,media-hilic-21,0.017426539,1.50E+07,50646.65151,0,249936.96,,,
Lactic acid C3,^13C3H6O3,media-hilic-06,0.022824668,1.46E+07,57256.40487,0,323277.0276,,,
L-Glutamic acid,C5H9NO4,media-hilic-09,0.721435725,3943930.057,0,11207.60215,0,0,1.02E+07,
Lactic acid C3,^13C3H6O3,media-hilic-QC03,0.115599944,1.49E+07,124110.218,0,1914043.982,,,
Alanine,C3H7NO2,media-hilic-33,0.016484181,483272.0589,0,0,8099.863664,,,
Glucose CL,C6H13O6Cl,media-hilic-Blank03,0.106652293,165015.5683,0,0,204.5364979,10085.42695,1032.423143,12448.24197
L-Glutamic acid,C5H9NO4,media-hilic-07,0.726544512,3815107.145,0,11868.41437,0,0,1.02E+07,
Alanine,C3H7NO2,media-hilic-QC02,0.019679823,571306.4799,0,0,11468.91674,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC08,0.86420607,1479.607211,0,0,1137.138601,29175.58255,25423.62498,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-33,0.994729641,2262.702123,6171.165931,0,1201505.208,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-35,0.993515687,1965.649411,3612.499427,0,668970.1327,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-06,0.995267994,2308.132983,4632.253572,0,1133443.19,,,
Lactic acid,C3H6O3,media-hilic-26,0.027463616,1.00E+07,0,24420.42282,267095.0497,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-08,0.015235979,1043861.658,0,0,1238.733636,29.74432356,914.0309378,14761.52416
Glucose d7 CL,C6H6D7O6Cl,media-hilic-10,0.017106236,1508513.023,0,0,933.1270886,0,0,25795.64498
Alanine,C3H7NO2,media-hilic-17,0.075000524,184214.7444,0,685.5714378,14497.92486,,,
L-Glutamic acid,C5H9NO4,media-hilic-21,0.741933272,3975873.562,0,12382.16534,0,0,1.14E+07,
L-Glutamine,C5H10N2O3,media-hilic-27,0.008619299,1.58E+07,542124.5849,78175.91603,2002.827788,140.3590133,152.5330054,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-16,0,0,0,0,0,0,0,
