experiment_id,met_id,ms_id,measurement_replicate,labelled_atom_ids,unlabelled_atoms,mass_isotope,intensity,intensity_std_error,time
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,277896.5816,24417.3537,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,1857.704706,157.8002904,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,64.812364,64.812364,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,0,0.02,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,0,0.02,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,190.5249415,69.69353179,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,12.7617726,6.796912149,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,108.899086,56.02972167,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,64.33309458,25.57678885,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,28.55224923,18.02372953,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,6.6081066,3.371511904,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,245699.7588,18487.90066,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,830.276715,247.1006625,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,1004.251241,325.5771857,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,1057.67391,157.8690631,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,444.6620334,27.245788,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,7629.748311,650.5271139,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,3.988095817,3.988095817,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,18.53507236,18.53507236,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,58.49391477,21.57570553,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,47.25592598,8.878112105,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,23.05289972,2.687637729,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,256233.6969,26725.71088,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,1116.398663,510.6823907,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,1901.640598,221.6786795,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,2014.945088,262.6079241,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,516.0370742,12.14072709,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,14319.79606,1205.796349,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,0,0.02,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,15.68746969,15.68746969,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,27.99839116,8.918516849,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,27.99382247,13.93544738,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,19.56372204,9.850557004,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,234835.41,13123.82438,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,1239.515317,709.6103738,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,2894.157309,143.7751,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,2853.544693,221.6511781,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1011.695996,50.20828285,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,25341.45898,653.3514105,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,0,0.02,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,0,0.02,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,9.581733659,7.896019618,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,5.952258448,3.052891921,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,15.66044343,6.921247284,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,163603.7878,15241.51784,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,883.2132071,260.4761232,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,9083.431738,835.4567663,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,8600.929998,498.4055864,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,4716.053871,322.1036076,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,91927.25829,3831.45191,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,151.7567095,48.21678058,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,61.89878469,61.14453869,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,22.76172794,22.76172794,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,23.9156271,11.95804907,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,21.60783195,8.857275432,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,91615.5981,2364.047509,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,2348.948238,534.20502,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,17970.19188,375.3950058,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,16484.28373,247.6154237,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,12622.31564,642.519037,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,186946.9586,3217.537585,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,6883.589277,590.0392854,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,1867.532084,124.1801708,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,24.71757154,24.71757154,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,18.83230884,17.67152062,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,8.908218416,3.203379465,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,37165.96243,2931.129296,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,2426.395007,176.716662,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,16844.53912,964.841281,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,16053.09228,947.0610391,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,12596.65778,803.9519581,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,203878.1233,9755.368347,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,16957.34522,252.6874286,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,4156.901872,485.2183374,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,262.8986671,134.1469444,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,0,0.02,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,6.709718699,4.484591826,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,10583.34139,2548.172343,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,33.13308317,28.14260588,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,123.8888383,20.04766202,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,18.95047273,4.77091025,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1515.88139,168.527887,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,122.4841635,82.11199496,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,188.4653878,48.37361325,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,133.6024847,61.10614373,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,301.6686715,105.8534544,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,95.15201722,31.61449158,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,73.05471954,16.29224786,0
