experiment_id,met_id,ms_id,measurement_replicate,labelled_atom_ids,unlabelled_atoms,mass_isotope,intensity,intensity_std_error,time
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,0,0.931839218,0.002,0
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,1,0.051246106,0.002,0
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,2,0.016082465,0.002,0
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,3,NA,0.002,0
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,4,0.000455,0.002,0
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,5,0.000377,0.002,0
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,6,NA,0.002,0
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,0,0.896563229,0.002,10
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,1,0.016561215,0.002,10
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,2,0.082250482,0.002,10
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,3,0.004013793,0.002,10
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,4,NA,0.002,10
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,5,0.000611,0.002,10
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,6,NA,0.002,10
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,0,0.861048044,0.002,20
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,1,0.023314957,0.002,20
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,2,0.109675786,0.002,20
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,3,0.004968593,0.002,20
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,4,NA,0.002,20
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,5,0.000989,0.002,20
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,6,3.90E-06,0.002,20
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,0,0.805758815,0.002,40
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,1,0.025408145,0.002,40
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,2,0.15004436,0.002,40
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,3,0.013846169,0.002,40
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,4,0.002581364,0.002,40
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,5,0.002322106,0.002,40
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,6,3.90E-05,0.002,40
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,0,0.80214784,0.002,80
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,1,0.021990001,0.002,80
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,2,0.151021541,0.002,80
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,3,0.016405877,0.002,80
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,4,0.005193086,0.002,80
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,5,0.003194368,0.002,80
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,6,4.73E-05,0.002,80
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,0,0.663032069,0.002,160
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,1,0.027658948,0.002,160
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,2,0.256238687,0.002,160
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,3,0.025021565,0.002,160
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,4,0.019084611,0.002,160
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,5,0.008707088,0.002,160
exp1,Cit,Cit,1,"[1,2,3,4,5,6]",,6,0.000257,0.002,160
exp1,3PG,3PG,1,"[1,2,3]",,0,0.950691428,0.002,0
exp1,3PG,3PG,1,"[1,2,3]",,1,NA,0.002,0
exp1,3PG,3PG,1,"[1,2,3]",,2,NA,0.002,0
exp1,3PG,3PG,1,"[1,2,3]",,3,0.049308572,0.002,0
exp1,3PG,3PG,1,"[1,2,3]",,0,0.240123288,0.002,10
exp1,3PG,3PG,1,"[1,2,3]",,1,0.008085488,0.002,10
exp1,3PG,3PG,1,"[1,2,3]",,2,0.008506194,0.002,10
exp1,3PG,3PG,1,"[1,2,3]",,3,0.74328503,0.002,10
exp1,3PG,3PG,1,"[1,2,3]",,0,0.261233173,0.002,20
exp1,3PG,3PG,1,"[1,2,3]",,1,0.010055591,0.002,20
exp1,3PG,3PG,1,"[1,2,3]",,2,0.01570541,0.002,20
exp1,3PG,3PG,1,"[1,2,3]",,3,0.713005827,0.002,20
exp1,3PG,3PG,1,"[1,2,3]",,0,0.204050042,0.002,40
exp1,3PG,3PG,1,"[1,2,3]",,1,0.008841786,0.002,40
exp1,3PG,3PG,1,"[1,2,3]",,2,0.007858135,0.002,40
exp1,3PG,3PG,1,"[1,2,3]",,3,0.779250037,0.002,40
exp1,3PG,3PG,1,"[1,2,3]",,0,0.233517918,0.002,80
exp1,3PG,3PG,1,"[1,2,3]",,1,0.010322973,0.002,80
exp1,3PG,3PG,1,"[1,2,3]",,2,0.01460121,0.002,80
exp1,3PG,3PG,1,"[1,2,3]",,3,0.741557899,0.002,80
exp1,3PG,3PG,1,"[1,2,3]",,0,0.220614353,0.002,160
exp1,3PG,3PG,1,"[1,2,3]",,1,0.009628046,0.002,160
exp1,3PG,3PG,1,"[1,2,3]",,2,0.010397495,0.002,160
exp1,3PG,3PG,1,"[1,2,3]",,3,0.759360106,0.002,160
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,0,0.952063137,0.002,0
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,1,NA,0.002,0
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,2,NA,0.002,0
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,3,0.003543446,0.002,0
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,4,NA,0.002,0
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,5,0.006773342,0.002,0
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,6,0.037620075,0.002,0
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,0,0.345562127,0.002,10
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,1,0.021498943,0.002,10
exp1,6PGC,6PGC,1,"[1,2,3,4,5,6]",,2,0.006910063,0.002,10
