Sample,Batch,Group,Time,Order
hilic-01,,vehicle,0,
hilic-02,,vehicle,0,
hilic-03,,vehicle,0,
hilic-04,,vehicle,10,
hilic-05,,vehicle,10,
hilic-06,,vehicle,10,
hilic-07,,vehicle,20,
hilic-08,,vehicle,20,
hilic-09,,vehicle,20,
hilic-10,,vehicle,40,
hilic-11,,vehicle,40,
hilic-12,,vehicle,40,
hilic-13,,vehicle,80,
hilic-14,,vehicle,80,
hilic-15,,vehicle,80,
hilic-16,,vehicle,160,
hilic-17,,vehicle,160,
hilic-18,,vehicle,160,
RPneg-01,,vehicle,0,
RPneg-02,,vehicle,0,
RPneg-03,,vehicle,0,
RPneg-04,,vehicle,10,
RPneg-05,,vehicle,10,
RPneg-06,,vehicle,10,
RPneg-07,,vehicle,20,
RPneg-08,,vehicle,20,
RPneg-09,,vehicle,20,
RPneg-10,,vehicle,40,
RPneg-11,,vehicle,40,
RPneg-12,,vehicle,40,
RPneg-13,,vehicle,80,
RPneg-14,,vehicle,80,
RPneg-15,,vehicle,80,
RPneg-16,,vehicle,160,
RPneg-17,,vehicle,160,
RPneg-18,,vehicle,160,
