met_id,pool_size,experiment_id,pool_size_std_error
Pyr.fix,0.00000405,exp1,
Asp.fix,0.000031,exp1,
Mal.fix,0.000000828,exp1,
Fum.fix,0.000000173,exp1,
Cit.fix,0.00000184,exp1,
Akg.fix,0.00000031,exp1,
Glu.fix,0.008467,exp1,
Lac,0.000005186,exp1,
Pyr.fix,0.00000405,exp2,
Asp.fix,0.000031,exp2,
Mal.fix,0.000000828,exp2,
Fum.fix,0.000000173,exp2,
Cit.fix,0.00000184,exp2,
Akg.fix,0.00000031,exp2,
Glu.fix,0.008467,exp2,
Lac,0.000005186,exp2,
Pyr.fix,0.00000405,exp3,
Asp.fix,0.000031,exp3,
Mal.fix,0.000000828,exp3,
Fum.fix,0.000000173,exp3,
Cit.fix,0.00000184,exp3,
Akg.fix,0.00000031,exp3,
Glu.fix,0.008467,exp3,
Lac,0.000005186,exp3,
