Sample,Batch,Group,Time,Order
media-hilic-01,,vehicle,0,
media-hilic-02,,vehicle,0,
media-hilic-03,,vehicle,0,
media-hilic-04,,vehicle,10,
media-hilic-05,,vehicle,10,
media-hilic-06,,vehicle,10,
media-hilic-07,,vehicle,20,
media-hilic-08,,vehicle,20,
media-hilic-09,,vehicle,20,
media-hilic-10,,vehicle,40,
media-hilic-11,,vehicle,40,
media-hilic-12,,vehicle,40,
media-hilic-13,,vehicle,80,
media-hilic-14,,vehicle,80,
media-hilic-15,,vehicle,80,
media-hilic-16,,vehicle,160,
media-hilic-17,,vehicle,160,
media-hilic-18,,vehicle,160,
media-hilic-19,,inhibitor,0,
media-hilic-20,,inhibitor,0,
media-hilic-21,,inhibitor,0,
media-hilic-22,,inhibitor,10,
media-hilic-23,,inhibitor,10,
media-hilic-24,,inhibitor,10,
media-hilic-25,,inhibitor,20,
media-hilic-26,,inhibitor,20,
media-hilic-27,,inhibitor,20,
media-hilic-28,,inhibitor,40,
media-hilic-29,,inhibitor,40,
media-hilic-30,,inhibitor,40,
media-hilic-31,,inhibitor,80,
media-hilic-32,,inhibitor,80,
media-hilic-33,,inhibitor,80,
media-hilic-34,,inhibitor,160,
media-hilic-35,,inhibitor,160,
media-hilic-36,,inhibitor,160,
media-hilic-Blank01,,Blank,,
media-hilic-Blank02,,Blank,,
media-hilic-Blank03,,Blank,,
media-hilic-QC01,,QC,,
media-hilic-QC02,,QC,,
media-hilic-QC03,,QC,,
media-hilic-QC04,,QC,,
media-hilic-QC05,,QC,,
media-hilic-QC06,,QC,,
media-hilic-QC07,,QC,,
media-hilic-QC08,,QC,,
media-hilic-QC09,,QC,,
media-hilic-QC10,,QC,,
