Sample,Batch,Group,Time,Order
media-hilic-1,,vehicle,0,
media-hilic-2,,vehicle,10,
media-hilic-3,,vehicle,20,
media-hilic-4,,vehicle,40,
media-hilic-5,,vehicle,80,
media-hilic-6,,vehicle,160,
media-hilic-7,,vehicle,0,
media-hilic-8,,vehicle,10,
media-hilic-9,,vehicle,20,
media-hilic-10,,vehicle,40,
media-hilic-11,,vehicle,80,
media-hilic-12,,vehicle,160,
media-hilic-13,,vehicle,0,
media-hilic-14,,vehicle,10,
media-hilic-15,,vehicle,20,
media-hilic-16,,vehicle,40,
media-hilic-17,,vehicle,80,
media-hilic-18,,vehicle,160,
