model,rxn_id,rxn_eqn,,,,,,,,,,,,,,,,
simple_model,R1,Glc.x (abcdef) -> G6P (abcdef),,,,,,,,,,,,,,,,
simple_model,R2,G6P (abcdef) <-> F6P (abcdef),,,,,,,,,,,,,,,,
simple_model,R3,F6P (abcdef) -> FBP (abcdef),,,,,,,,,,,,,,,,
simple_model,R4,FBP (abcdef) <-> DHAP (def) + GAP (abc),,,,,,,,,,,,,,,,
simple_model,R5,DHAP (def) <-> GAP (def),,,,,,,,,,,,,,,,
simple_model,R6,GAP (abc) <-> 3PG (abc),,,,,,,,,,,,,,,,
simple_model,R7,3PG (abc) <-> PEP (abc),,,,,,,,,,,,,,,,
simple_model,R8,PEP (abc) -> Pyr.c (abc),,,,,,,,,,,,,,,,
simple_model,R9,Pyr.c (abc) <-> Lac (abc),,,,,,,,,,,,,,,,
simple_model,R10,Lac (abc) -> Lac.x (abc),,,,,,,,,,,,,,,,
simple_model,R11,Pyr.c (abc) -> Ala (abc),,,,,,,,,,,,,,,,
simple_model,R12,Pyr.m (abc) -> Ala (abc),,,,,,,,,,,,,,,,
simple_model,R13,Glycogen (abcdef) -> G6P (abcdef) ,,,,,,,,,,,,,,,, 
simple_model,R14,G6P (abcdef) -> R5P (bcdef) + CO2 (a),,,,,,,,,,,,,,,,
simple_model,R15,R5P (abcde) + R5P (fghij) <-> S7P (abfghij) + GAP (cde),,,,,,,,,,,,,,,,
simple_model,R16,S7P (abcdefg) + GAP (hij) <-> F6P (abchij) + E4P (defg),,,,,,,,,,,,,,,,
simple_model,R17,R5P (abcde) + E4P (fghi) <-> F6P (abfghi) + GAP (cde),,,,,,,,,,,,,,,,
simple_model,R18,Pyr.c (abc) -> Pyr.m (abc),,,,,,,,,,,,,,,,
simple_model,R19,Pyr.m (abc) + CO2 (d) -> Oac.m (abcd),,,,,,,,,,,,,,,,
simple_model,R20,Oac.c (abcd) -> PEP (abc) + CO2 (d),,,,,,,,,,,,,,,,
simple_model,R21,Mal.m (abcd) -> Pyr.m (abc) + CO2 (d),,,,,,,,,,,,,,,,
simple_model,R22,Mal.c (abcd) -> Pyr.c (abc) + CO2 (d),,,,,,,,,,,,,,,,
simple_model,R23,Pyr.m (abc) -> AcCoA.m (bc) + CO2 (a),,,,,,,,,,,,,,,,
simple_model,R24,Gln.x (abcde) -> Gln.c (abcde),,,,,,,,,,,,,,,,
simple_model,R25,Gln.c (abcde) <-> Glu.c (abcde),,,,,,,,,,,,,,,,
simple_model,R26,Glu.c (abcde) -> Glu.x (abcde),,,,,,,,,,,,,,,,
simple_model,R27,Glu.c (abcde) <-> Glu.m (abcde),,,,,,,,,,,,,,,,
simple_model,R28,Glu.m (abcde) <-> Akg.m (abcde),,,,,,,,,,,,,,,,
simple_model,R29,Akg.c (abcde) <-> Glu.c (abcde),,,,,,,,,,,,,,,,
simple_model,R30,Akg.m (abcde) <-> Akg.c (abcde),,,,,,,,,,,,,,,,
simple_model,R31,FAO (ab) -> AcCoA.m (ab),,,,,,,,,,,,,,,,
simple_model,R32,AcCoA.m (ab) + Oac.m (cdef) -> Cit.m (fedbac),,,,,,,,,,,,,,,,
simple_model,R33,Cit.m (abcdef) -> Akg.m (abcde) + CO2 (f),,,,,,,,,,,,,,,,
